x,y
-119.4950369,49.88495849
-119.4950367,49.88500345
-119.4950364,49.8850484
-119.4950362,49.88509335
-119.4950359,49.88513831
-119.4950357,49.88518326
-119.4950354,49.88522821
-119.4950352,49.88527317
-119.4950349,49.88531812
-119.4950347,49.88536307
-119.4950353,49.88540802
-119.4950359,49.88545298
-119.4950365,49.88549793
-119.4950371,49.88554288
-119.4950378,49.88558783
-119.4950384,49.88563278
-119.495039,49.88567773
-119.4950396,49.88572269
-119.4950402,49.88576764
-119.4950408,49.88581259
-119.4950414,49.88585754
-119.495042,49.88590249
-119.4950426,49.88594745
-119.4950432,49.8859924
-119.4950438,49.88603735
-119.4950444,49.8860823
-119.495045,49.88612725
-119.4950456,49.8861722
-119.4950462,49.88621716
-119.4950468,49.88626211
-119.4950474,49.88630706
-119.495048,49.88635201
-119.4950486,49.88639696
-119.4950492,49.88644191
-119.4950498,49.88648687
-119.4950503,49.88653182
-119.4950509,49.88657677
-119.4950515,49.88662172
-119.4950521,49.88666667
-119.4950526,49.88671163
-119.4950532,49.88675658
-119.4950538,49.88680153
-119.4950544,49.88684648
-119.4950549,49.88689143
-119.4950555,49.88693638
-119.4950561,49.88698134
-119.4950567,49.88702629
-119.4950572,49.88707124
-119.4950578,49.88711619
-119.4950584,49.88716114
-119.4950589,49.8872061
-119.4950594,49.88725105
-119.4950588,49.887296
-119.4950583,49.88734095
-119.4950752,49.88737464
-119.4951447,49.88737441
-119.4952143,49.88737418
-119.4952839,49.88737395
-119.4953535,49.88737373
-119.495423,49.8873735
-119.4954926,49.88737327
-119.4955622,49.88737304
-119.4956318,49.88737281
-119.4957014,49.88737258
-119.4957709,49.88737235
-119.4958405,49.88737212
-119.4959101,49.88737189
-119.4959797,49.88737166
-119.4960492,49.88737143
-119.4961188,49.8873712
-119.4961884,49.88737097
-119.496258,49.88737074
-119.4963275,49.88737051
-119.4963971,49.88737028
-119.4964667,49.88737004
-119.4965363,49.88736981
-119.4966058,49.88736958
-119.49661,49.88732698
-119.4966104,49.88728203
-119.4966108,49.88723708
-119.4966106,49.88719212
-119.4966103,49.88714717
-119.4966101,49.88710222
-119.4966099,49.88705726
-119.4966096,49.88701231
-119.4966094,49.88696736
-119.4966091,49.8869224
-119.4966089,49.88687745
-119.4966086,49.8868325
-119.4966084,49.88678754
-119.4966081,49.88674259
-119.4966079,49.88669764
-119.4966076,49.88665268
-119.4966074,49.88660773
-119.4966071,49.88656278
-119.4966069,49.88651783
-119.4966066,49.88647287
-119.4966064,49.88642792
-119.4966061,49.88638297
-119.4966059,49.88633801
-119.4966058,49.88629306
-119.4966059,49.88624811
-119.4966059,49.88620315
-119.4966059,49.8861582
-119.496606,49.88611325
-119.496606,49.88606829
-119.4966061,49.88602334
-119.4966061,49.88597839
-119.4966062,49.88593343
-119.4966062,49.88588848
-119.4966062,49.88584353
-119.4966063,49.88579857
-119.4966063,49.88575362
-119.4966064,49.88570867
-119.4966064,49.88566371
-119.4966065,49.88561876
-119.4966065,49.88557381
-119.4966065,49.88552885
-119.4966066,49.8854839
