lat,long
-119.4531128,49.87722303
-119.4526954,49.87722088
-119.452278,49.87722031
-119.4518606,49.87722145
-119.4514433,49.87722259
-119.4510259,49.87722373
-119.4506085,49.87722486
-119.4501911,49.877226
-119.4498051,49.87715318
-119.4493877,49.8771531
-119.4489703,49.87715307
-119.448553,49.87715303
-119.4481356,49.87715406
-119.4477182,49.87715603
-119.4473009,49.877158
-119.4468835,49.87715997
-119.4464661,49.87716193
-119.4460487,49.8771639
-119.4456314,49.87716586
-119.445214,49.87716782
-119.4447966,49.87716978
-119.4443793,49.87717174
-119.4439619,49.8771737
-119.4435445,49.87717566
-119.4431719,49.87720518
-119.4431698,49.8774749
-119.4431683,49.87774462
-119.4431667,49.87801435
-119.4431651,49.87828407
-119.4431636,49.87855379
-119.4431617,49.87882351
-119.4431593,49.87909324
-119.443157,49.87936296
-119.4431547,49.87963268
-119.4431524,49.8799024
-119.4428429,49.87996942
-119.4424256,49.87996526
-119.4424073,49.88021429
-119.4424214,49.88048386
-119.4424355,49.88075344
-119.4426786,49.88086926
-119.443096,49.88086806
-119.4431428,49.8811062
-119.4431407,49.88137592
-119.4431385,49.88164564
-119.4429968,49.88182397
-119.4425794,49.88182177
-119.442162,49.88181956
-119.4417446,49.88181736
-119.4413272,49.88181515
-119.4409098,49.88181295
-119.4404924,49.88181074
-119.440075,49.88180853
-119.4396575,49.88180634
-119.4392401,49.88180417
-119.4388227,49.88180199
-119.4384053,49.88179981
-119.4379879,49.88179763
-119.4375705,49.88179545
-119.4374889,49.88158015
-119.4374929,49.88131043
-119.437497,49.88104072
-119.4375011,49.88077101
-119.4375049,49.88050129
-119.4374876,49.88023218
-119.4374455,49.87996388
-119.4373553,49.87970052
-119.4372178,49.87948338
-119.4368118,49.87954568
-119.4364067,49.87960959
-119.4359893,49.87960825
-119.4355719,49.8796069
-119.4351545,49.87960555
-119.4347371,49.87960421
-119.4343197,49.87960403
-119.4339023,49.87960385
-119.4334849,49.87960336
-119.4330675,49.87960088
-119.4326501,49.8795984
-119.4322327,49.87959592
-119.4318194,49.87962141
-119.431443,49.87972908
-119.4311221,49.87989842
-119.4308973,49.88012236
-119.4307845,49.88038052
-119.4307784,49.88065022
-119.4307723,49.88091992
-119.4306973,49.881184
-119.430493,49.88141788
-119.4301973,49.88160645
-119.4298836,49.88178439
-119.4295699,49.88196232
-119.4292562,49.88214025
-119.4289425,49.88231818
-119.4286287,49.88249611
-119.428315,49.88267404
-119.4279665,49.88281983
-119.4275898,49.88293182
-119.4271841,49.8829951
-119.4267783,49.88305839
-119.4263865,49.8831468
-119.426023,49.8832778
-119.4256852,49.8834359
-119.425384,49.88362267
-119.4251282,49.8838341
-119.4249026,49.88406068
-119.4247177,49.88430247
-119.4245327,49.88454427
-119.4242696,49.88475099
-119.4239831,49.88494712
